2023-05-25 09:23:25,754 INFO    StreamThr :78615 [internal.py:wandb_internal():86] W&B internal server running at pid: 78615, started at: 2023-05-25 09:23:25.753572
2023-05-25 09:23:25,755 DEBUG   HandlerThread:78615 [handler.py:handle_request():144] handle_request: status
2023-05-25 09:23:25,755 INFO    WriterThread:78615 [datastore.py:open_for_write():85] open: /Users/hamel/github/try-launch/wandb/run-20230525_092325-lho3lk7c/run-lho3lk7c.wandb
2023-05-25 09:23:25,757 DEBUG   SenderThread:78615 [sender.py:send():375] send: header
2023-05-25 09:23:25,782 DEBUG   SenderThread:78615 [sender.py:send():375] send: run
2023-05-25 09:23:26,113 INFO    SenderThread:78615 [dir_watcher.py:__init__():219] watching files in: /Users/hamel/github/try-launch/wandb/run-20230525_092325-lho3lk7c/files
2023-05-25 09:23:26,113 INFO    SenderThread:78615 [sender.py:_start_run_threads():1124] run started: lho3lk7c with start time 1685031805.752909
2023-05-25 09:23:26,113 DEBUG   SenderThread:78615 [sender.py:send_request():402] send_request: summary_record
2023-05-25 09:23:26,113 INFO    SenderThread:78615 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-05-25 09:23:26,116 DEBUG   HandlerThread:78615 [handler.py:handle_request():144] handle_request: check_version
2023-05-25 09:23:26,117 DEBUG   SenderThread:78615 [sender.py:send_request():402] send_request: check_version
2023-05-25 09:23:26,224 DEBUG   HandlerThread:78615 [handler.py:handle_request():144] handle_request: run_start
2023-05-25 09:23:26,241 DEBUG   HandlerThread:78615 [system_info.py:__init__():31] System info init
2023-05-25 09:23:26,241 DEBUG   HandlerThread:78615 [system_info.py:__init__():46] System info init done
2023-05-25 09:23:26,242 INFO    HandlerThread:78615 [system_monitor.py:start():181] Starting system monitor
2023-05-25 09:23:26,242 INFO    SystemMonitor:78615 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-05-25 09:23:26,242 INFO    HandlerThread:78615 [system_monitor.py:probe():201] Collecting system info
2023-05-25 09:23:26,242 DEBUG   HandlerThread:78615 [system_info.py:probe():195] Probing system
2023-05-25 09:23:26,243 INFO    SystemMonitor:78615 [interfaces.py:start():190] Started cpu monitoring
2023-05-25 09:23:26,243 INFO    SystemMonitor:78615 [interfaces.py:start():190] Started disk monitoring
2023-05-25 09:23:26,244 INFO    SystemMonitor:78615 [interfaces.py:start():190] Started memory monitoring
2023-05-25 09:23:26,245 INFO    SystemMonitor:78615 [interfaces.py:start():190] Started network monitoring
2023-05-25 09:23:26,245 DEBUG   HandlerThread:78615 [system_info.py:_probe_git():180] Probing git
2023-05-25 09:23:26,288 DEBUG   HandlerThread:78615 [system_info.py:_probe_git():188] Probing git done
2023-05-25 09:23:26,288 DEBUG   HandlerThread:78615 [system_info.py:probe():240] Probing system done
